workbook_id,category,defined_name_id,scope_sheet_index,hidden,metadata_status,reference_kind,external_reference,functions,calculation_topics,detected_units
48e84a7374ffc7ba,torque-drag-drillstring,n000059,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000060,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000061,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000062,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000063,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000064,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000065,,,scope-and-visibility-unsupported-by-calamine,range,False,,well-control.pressure-schedule,cP
48e84a7374ffc7ba,torque-drag-drillstring,n000066,,,scope-and-visibility-unsupported-by-calamine,range,False,,well-control.pressure-schedule,cP
48e84a7374ffc7ba,torque-drag-drillstring,n000067,,,scope-and-visibility-unsupported-by-calamine,range,False,,well-control.pressure-schedule,cP
48e84a7374ffc7ba,torque-drag-drillstring,n000068,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000069,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000070,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000071,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000072,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000073,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000074,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000075,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
