id,classification,score,category,archive_relative_path,original_name,extension,bytes,sha256,source_occurrences,sheet_count,sheet_names,formula_count,has_macros,inspection_status,signals
282c3e39ed333b87,drilling_calculation,9,hydraulics,files/hydraulics/binghamplasticpvivsprototype--282c3e39ed33.xlsx,BinghamPlasticPVIvsPrototype.xlsx,.xlsx,1104612,282c3e39ed333b87ab58eaa36d15ca0b44574ff2fda6ea034d3127edffeb09e5,1,4,Test Case | Trials | Data | Screenshots,461,False,openxml-inspected,filename-domain:Bingham;path-domain:hydraulics;path-calculation-term;contains-formulas;formula-rich
69b5527651746601,drilling_calculation,9,hydraulics,files/hydraulics/binghamplasticpvivsprototypelam--69b552765174.xlsx,BinghamPlasticPVIvsPrototypeLAM.xlsx,.xlsx,1027358,69b552765174660113c46d363562d72f715dc26a54de05934863bde0eb52e5b5,1,4,Test Case | Trials | Data | Screenshots,451,False,openxml-inspected,filename-domain:Bingham;path-domain:hydraulics;path-calculation-term;contains-formulas;formula-rich
e7cb09f7199d8263,drilling_calculation,9,hydraulics,files/hydraulics/binghamplasticpvivsprototypenonuniform--e7cb09f7199d.xlsx,BinghamPlasticPVIvsPrototypeNonUniform.xlsx,.xlsx,1118128,e7cb09f7199d8263920cec3f1ae3bd6614deacff9d4f011cf9d78aa17aeecc75,1,4,Test Case | Trials | Data | Screenshots,421,False,openxml-inspected,filename-domain:Bingham;path-domain:hydraulics;path-calculation-term;contains-formulas;formula-rich
1e6e0ff76799305d,drilling_calculation,7,hydraulics,files/hydraulics/bit-hydraulics--1e6e0ff76799.xls,Bit_Hydraulics.xls,.xls,102400,1e6e0ff76799305d898b17fda604221e0d7c2e1785906800a5faa2f39dd4f00d,1,0,,,False,binary-format-metadata-only,filename-domain:Hydraulic;path-domain:general-drilling;path-calculation-term;binary-format-name-evidence
a86a606c50c1000a,drilling_calculation,9,hydraulics,files/hydraulics/fann-70-calculator--a86a606c50c1.xls,FANN 70 calculator.xls,.xls,93184,a86a606c50c1000a674ffbcbd4562acdd2a1159922c9c69caf91b6bbbc70e7ff,1,0,,,False,binary-format-metadata-only,filename-domain:FANN;filename-calculation-term;path-domain:hydraulics;binary-format-name-evidence
b72c195b11e69082,drilling_calculation,9,hydraulics,files/hydraulics/hole-cleaning-programme--b72c195b11e6.xls,Hole Cleaning Programme.xls,.xls,423424,b72c195b11e69082659b46a8c9c771e729453305fdba9d8e6645563d95bf4f13,1,0,,,False,binary-format-metadata-only,filename-domain:Hole Clean;filename-calculation-term;path-domain:hydraulics;binary-format-name-evidence
aeba21cbab05dedc,drilling_calculation,7,hydraulics,files/hydraulics/hydraulics-analyzed--aeba21cbab05.xls,Hydraulics_Analyzed.xls,.xls,84480,aeba21cbab05dedc96c10ef4ff22332043054b950ebc0a887e04ed9a26ef5fa3,1,0,,,False,binary-format-metadata-only,filename-domain:Hydraulic;path-domain:general-drilling;path-calculation-term;binary-format-name-evidence
65e07d7859867671,drilling_calculation,9,hydraulics,files/hydraulics/lag-model-1-1--65e07d785986.xls,LAG MODEL-1.1.xls,.xls,5943808,65e07d78598676715dd5d22f4eb65bb9970aec993a42ce7444922a021a64321b,3,0,,,False,binary-format-metadata-only,filename-domain:LAG MODEL;filename-calculation-term;path-domain:hydraulics;binary-format-name-evidence
9d94e7c93c53521d,drilling_calculation,9,hydraulics,files/hydraulics/largescalepowerlaw--9d94e7c93c53.xlsx,LargeScalePowerLaw.xlsx,.xlsx,23830408,9d94e7c93c53521dc87ed3e175fe2ac331abaf28f9ee2c26bdd3a72e42fb54b4,1,3,Data | Ann | Pipe,134748,False,openxml-inspected,filename-domain:PowerLaw;path-domain:hydraulics;path-calculation-term;contains-formulas;formula-rich
0bd17e3b1ef5840f,drilling_calculation,9,hydraulics,files/hydraulics/nonuniformbinghamplasticjosescase--0bd17e3b1ef5.xlsx,NonUniformBinghamPlasticJosesCase.xlsx,.xlsx,1023011,0bd17e3b1ef5840fb15e2396d4df9b9c3058ca2fa1772a840d0e3b3646c0fbfe,1,4,Test Case | Trials | Data | Screenshots,451,False,openxml-inspected,filename-domain:Bingham;path-domain:hydraulics;path-calculation-term;contains-formulas;formula-rich
