workbook_id,category,module_id,record_id,record_kind,module_kind,procedure_kind,visibility,execution_trigger,source_status,source_lines,executable_lines,calculation_topics,detected_units,risk_signals
b147eb91b2f2fd18,thermal,m0093,m0093-p0004,procedure,standard-module,function,public,explicit-call,available,45,29,,ft,environment-access
b147eb91b2f2fd18,thermal,m0093,m0093-p0005,procedure,standard-module,function,public,explicit-call,available,28,24,,,com-automation
b147eb91b2f2fd18,thermal,m0094,m0094,module,standard-module,,,,available,276,0,bha.motor-performance|bha.tool-life|cross-cutting.unit-conversion,N|gal/min|h|kPa|m^3|mm|ppg|psi,
b147eb91b2f2fd18,thermal,m0094,m0094-p0001,procedure,standard-module,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0094,m0094-p0002,procedure,standard-module,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0094,m0094-p0003,procedure,standard-module,sub,private,explicit-call,available,132,101,bha.motor-performance|bha.tool-life,N|h|mm,
b147eb91b2f2fd18,thermal,m0094,m0094-p0004,procedure,standard-module,sub,public,explicit-call,available,127,92,bha.tool-life|cross-cutting.unit-conversion,N|gal/min|h|kPa|m^3|mm|ppg|psi,
b147eb91b2f2fd18,thermal,m0095,m0095,module,user-form,,,,available,869,0,bha.motor-performance|bha.tool-life|cross-cutting.lookup|cross-cutting.unit-conversion,N|degC|degF|gal/min|h|kPa|kg/m^3|m^3|mm|percent|ppg|psi,
b147eb91b2f2fd18,thermal,m0095,m0095-p0001,procedure,user-form,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0095,m0095-p0002,procedure,user-form,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0095,m0095-p0003,procedure,user-form,sub,private,explicit-call,available,3,3,,,
b147eb91b2f2fd18,thermal,m0095,m0095-p0004,procedure,user-form,sub,private,explicit-call,available,461,380,bha.motor-performance|bha.tool-life|cross-cutting.unit-conversion,degF|gal/min|h|kPa|m^3|mm|percent|ppg|psi,
b147eb91b2f2fd18,thermal,m0095,m0095-p0005,procedure,user-form,sub,private,explicit-call,available,3,3,,,
b147eb91b2f2fd18,thermal,m0095,m0095-p0006,procedure,user-form,sub,private,explicit-call,available,28,23,,,
b147eb91b2f2fd18,thermal,m0095,m0095-p0007,procedure,user-form,sub,private,explicit-call,available,68,50,,degF|gal/min|ppg|psi,
b147eb91b2f2fd18,thermal,m0095,m0095-p0008,procedure,user-form,sub,private,explicit-call,available,68,50,,degC|kPa|kg/m^3|mm,
b147eb91b2f2fd18,thermal,m0095,m0095-p0009,procedure,user-form,sub,private,explicit-call,available,6,6,bha.tool-life,,
b147eb91b2f2fd18,thermal,m0095,m0095-p0010,procedure,user-form,sub,private,explicit-call,available,11,9,,,
b147eb91b2f2fd18,thermal,m0095,m0095-p0011,procedure,user-form,sub,private,explicit-call,available,18,13,,,
b147eb91b2f2fd18,thermal,m0095,m0095-p0012,procedure,user-form,sub,private,explicit-call,available,50,36,cross-cutting.lookup,,
b147eb91b2f2fd18,thermal,m0095,m0095-p0013,procedure,user-form,sub,private,explicit-call,available,61,42,cross-cutting.lookup,,
b147eb91b2f2fd18,thermal,m0095,m0095-p0014,procedure,user-form,sub,private,explicit-call,available,27,22,bha.motor-performance|cross-cutting.lookup,N,
b147eb91b2f2fd18,thermal,m0095,m0095-p0015,procedure,user-form,sub,private,explicit-call,available,23,16,,,
b147eb91b2f2fd18,thermal,m0095,m0095-p0016,procedure,user-form,sub,private,explicit-call,available,6,6,bha.tool-life,,
b147eb91b2f2fd18,thermal,m0096,m0096,module,user-form,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0097,m0097,module,standard-module,,,,available,189,0,bha.motor-performance|bha.tool-life,N|h|mm,
b147eb91b2f2fd18,thermal,m0097,m0097-p0001,procedure,standard-module,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0097,m0097-p0002,procedure,standard-module,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0097,m0097-p0003,procedure,standard-module,sub,public,explicit-call,available,23,16,,,
b147eb91b2f2fd18,thermal,m0097,m0097-p0004,procedure,standard-module,sub,public,explicit-call,available,149,115,bha.motor-performance|bha.tool-life,N|h|mm,
b147eb91b2f2fd18,thermal,m0098,m0098,module,standard-module,,,,available,350,0,bha.motor-performance|cross-cutting.optimization|cross-cutting.unit-conversion|directional.dogleg-severity,ft|in,com-automation|filesystem-write|environment-access
b147eb91b2f2fd18,thermal,m0098,m0098-p0001,procedure,standard-module,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0098,m0098-p0002,procedure,standard-module,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0098,m0098-p0003,procedure,standard-module,sub,public,explicit-call,available,42,24,bha.motor-performance|cross-cutting.optimization|cross-cutting.unit-conversion|directional.dogleg-severity,in,
b147eb91b2f2fd18,thermal,m0098,m0098-p0004,procedure,standard-module,function,public,explicit-call,available,45,29,bha.motor-performance,ft,environment-access
b147eb91b2f2fd18,thermal,m0098,m0098-p0005,procedure,standard-module,function,public,explicit-call,available,28,24,,,com-automation
b147eb91b2f2fd18,thermal,m0098,m0098-p0006,procedure,standard-module,sub,public,explicit-call,available,42,35,,,filesystem-write
b147eb91b2f2fd18,thermal,m0098,m0098-p0007,procedure,standard-module,function,public,explicit-call,available,45,28,,ft,environment-access|filesystem-write
b147eb91b2f2fd18,thermal,m0098,m0098-p0008,procedure,standard-module,sub,public,explicit-call,available,46,37,,in,filesystem-write
b147eb91b2f2fd18,thermal,m0098,m0098-p0009,procedure,standard-module,function,public,explicit-call,available,45,28,,ft,environment-access|filesystem-write
b147eb91b2f2fd18,thermal,m0098,m0098-p0010,procedure,standard-module,function,public,explicit-call,available,29,24,,,com-automation
b147eb91b2f2fd18,thermal,m0098,m0098-p0011,procedure,standard-module,sub,public,explicit-call,available,4,4,,,
b147eb91b2f2fd18,thermal,m0099,m0099,module,standard-module,,,,available,480,0,bha.motor-performance,N|W|ft|gal/min|hp|kPa|kW|mm|percent|psi|rpm,
b147eb91b2f2fd18,thermal,m0099,m0099-p0001,procedure,standard-module,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0099,m0099-p0002,procedure,standard-module,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0099,m0099-p0003,procedure,standard-module,sub,public,explicit-call,available,40,25,bha.motor-performance,N|W|mm,
b147eb91b2f2fd18,thermal,m0099,m0099-p0004,procedure,standard-module,sub,public,explicit-call,available,66,55,,ft,
b147eb91b2f2fd18,thermal,m0099,m0099-p0005,procedure,standard-module,sub,public,explicit-call,available,356,259,,ft|gal/min|hp|kPa|kW|mm|percent|psi|rpm,
b147eb91b2f2fd18,thermal,m0100,m0100,module,user-form,,,,available,81,0,,min,
b147eb91b2f2fd18,thermal,m0100,m0100-p0001,procedure,user-form,sub,private,explicit-call,available,3,3,,,
b147eb91b2f2fd18,thermal,m0100,m0100-p0002,procedure,user-form,sub,private,explicit-call,available,45,42,,min,
b147eb91b2f2fd18,thermal,m0100,m0100-p0003,procedure,user-form,sub,private,explicit-call,available,8,6,,,
b147eb91b2f2fd18,thermal,m0100,m0100-p0004,procedure,user-form,sub,private,explicit-call,available,3,2,,,
b147eb91b2f2fd18,thermal,m0100,m0100-p0005,procedure,user-form,sub,private,explicit-call,available,12,8,,min,
b147eb91b2f2fd18,thermal,m0100,m0100-p0006,procedure,user-form,sub,private,userform-event,available,5,5,,,
b147eb91b2f2fd18,thermal,m0101,m0101,module,user-form,,,,available,787,0,bha.motor-performance|cross-cutting.lookup,ft|gal/min|hp|kPa|kW|min|mm|percent|psi|rpm,
b147eb91b2f2fd18,thermal,m0101,m0101-p0001,procedure,user-form,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0101,m0101-p0002,procedure,user-form,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0101,m0101-p0003,procedure,user-form,sub,private,explicit-call,available,4,3,,,
b147eb91b2f2fd18,thermal,m0101,m0101-p0004,procedure,user-form,sub,private,explicit-call,available,3,3,,,
b147eb91b2f2fd18,thermal,m0101,m0101-p0005,procedure,user-form,sub,private,explicit-call,available,5,3,,,
b147eb91b2f2fd18,thermal,m0101,m0101-p0006,procedure,user-form,sub,private,explicit-call,available,182,155,bha.motor-performance|cross-cutting.lookup,,
b147eb91b2f2fd18,thermal,m0101,m0101-p0007,procedure,user-form,sub,private,explicit-call,available,53,39,cross-cutting.lookup,min,
